Code,Treatment,Repet,Tree,Fruit,Nseeds,FrDiam,Block,TreeCode
B711,B,07,01,1,,,Block_2,B0701
B712,B,07,01,2,,,Block_2,B0701
B713,B,07,01,3,,,Block_2,B0701
B714,B,07,01,4,,,Block_2,B0701
B715,B,07,01,5,,,Block_2,B0701
B716,B,07,01,6,,,Block_2,B0701
B717,B,07,01,7,,,Block_2,B0701
B718,B,07,01,8,,,Block_2,B0701
B719,B,07,01,9,,,Block_2,B0701
B7110,B,07,01,10,,,Block_2,B0701
B721,B,07,02,1,,,Block_2,B0702
B722,B,07,02,2,,,Block_2,B0702
B723,B,07,02,3,,,Block_2,B0702
B724,B,07,02,4,,,Block_2,B0702
B725,B,07,02,5,,,Block_2,B0702
B726,B,07,02,6,,,Block_2,B0702
B727,B,07,02,7,,,Block_2,B0702
B728,B,07,02,8,,,Block_2,B0702
B729,B,07,02,9,,,Block_2,B0702
B7210,B,07,02,10,,,Block_2,B0702
B811,B,08,01,1,0,61.41,Block_3,B0801
B812,B,08,01,2,0,60.21,Block_3,B0801
B813,B,08,01,3,0,54.97,Block_3,B0801
B814,B,08,01,4,0,57.84,Block_3,B0801
B815,B,08,01,5,0,60.12,Block_3,B0801
B816,B,08,01,6,0,60.2,Block_3,B0801
B817,B,08,01,7,0,54.97,Block_3,B0801
B818,B,08,01,8,0,64.77,Block_3,B0801
B819,B,08,01,9,0,62.62,Block_3,B0801
B8110,B,08,01,10,0,53.17,Block_3,B0801
B821,B,08,02,1,,,Block_3,B0802
B822,B,08,02,2,,,Block_3,B0802
B823,B,08,02,3,,,Block_3,B0802
B824,B,08,02,4,,,Block_3,B0802
B825,B,08,02,5,,,Block_3,B0802
B826,B,08,02,6,,,Block_3,B0802
B827,B,08,02,7,,,Block_3,B0802
B828,B,08,02,8,,,Block_3,B0802
B829,B,08,02,9,,,Block_3,B0802
B8210,B,08,02,10,,,Block_3,B0802
B911,B,09,01,1,0,58.75,Block_3,B0901
B912,B,09,01,2,0,35.57,Block_3,B0901
B913,B,09,01,3,0,42.36,Block_3,B0901
B914,B,09,01,4,0,44.81,Block_3,B0901
B915,B,09,01,5,0,34.97,Block_3,B0901
B916,B,09,01,6,0,41.07,Block_3,B0901
B917,B,09,01,7,,,Block_3,B0901
B918,B,09,01,8,,,Block_3,B0901
B919,B,09,01,9,,,Block_3,B0901
B9110,B,09,01,10,,,Block_3,B0901
B921,B,09,02,1,0,60.86,Block_3,B0902
B922,B,09,02,2,0,60.78,Block_3,B0902
B923,B,09,02,3,0,58.89,Block_3,B0902
B924,B,09,02,4,0,58.38,Block_3,B0902
B925,B,09,02,5,0,57.33,Block_3,B0902
B926,B,09,02,6,0,49.33,Block_3,B0902
B927,B,09,02,7,0,57.9,Block_3,B0902
B928,B,09,02,8,0,48.31,Block_3,B0902
B929,B,09,02,9,0,50.49,Block_3,B0902
B9210,B,09,02,10,0,59.12,Block_3,B0902
B1011,B,10,01,1,,,Block_3,B1001
B1012,B,10,01,2,,,Block_3,B1001
B1013,B,10,01,3,,,Block_3,B1001
B1014,B,10,01,4,,,Block_3,B1001
B1015,B,10,01,5,,,Block_3,B1001
B1016,B,10,01,6,,,Block_3,B1001
B1017,B,10,01,7,,,Block_3,B1001
B1018,B,10,01,8,,,Block_3,B1001
B1019,B,10,01,9,,,Block_3,B1001
B10110,B,10,01,10,,,Block_3,B1001
B1021,B,10,02,1,,,Block_3,B1002
B1022,B,10,02,2,,,Block_3,B1002
B1023,B,10,02,3,,,Block_3,B1002
B1024,B,10,02,4,,,Block_3,B1002
B1025,B,10,02,5,,,Block_3,B1002
B1026,B,10,02,6,,,Block_3,B1002
B1027,B,10,02,7,,,Block_3,B1002
B1028,B,10,02,8,,,Block_3,B1002
B1029,B,10,02,9,,,Block_3,B1002
B10210,B,10,02,10,,,Block_3,B1002
B1111,B,11,01,1,,,Block_3,B1101
B1112,B,11,01,2,,,Block_3,B1101
B1113,B,11,01,3,,,Block_3,B1101
B1114,B,11,01,4,,,Block_3,B1101
B1115,B,11,01,5,,,Block_3,B1101
B1116,B,11,01,6,,,Block_3,B1101
B1117,B,11,01,7,,,Block_3,B1101
B1118,B,11,01,8,,,Block_3,B1101
B1119,B,11,01,9,,,Block_3,B1101
B11110,B,11,01,10,,,Block_3,B1101
B1121,B,11,02,1,,,Block_3,B1102
B1122,B,11,02,2,,,Block_3,B1102
B1123,B,11,02,3,,,Block_3,B1102
B1124,B,11,02,4,,,Block_3,B1102
B1125,B,11,02,5,,,Block_3,B1102
B1126,B,11,02,6,,,Block_3,B1102
B1127,B,11,02,7,,,Block_3,B1102
B1128,B,11,02,8,,,Block_3,B1102
B1129,B,11,02,9,,,Block_3,B1102
B11210,B,11,02,10,,,Block_3,B1102
C111,C,01,01,1,0,70.11,Block_1,C0101
C112,C,01,01,2,2,59.3,Block_1,C0101
C113,C,01,01,3,0,54.22,Block_1,C0101
C114,C,01,01,4,3,58.98,Block_1,C0101
C115,C,01,01,5,0,60.1,Block_1,C0101
C116,C,01,01,6,0,60.3,Block_1,C0101
C117,C,01,01,7,2,62.1,Block_1,C0101
C118,C,01,01,8,0,57.34,Block_1,C0101
C119,C,01,01,9,0,63.66,Block_1,C0101
C1110,C,01,01,10,2,59.09,Block_1,C0101
C121,C,01,02,1,0,52.2,Block_1,C0102
C122,C,01,02,2,0,57.29,Block_1,C0102
C123,C,01,02,3,0,52.32,Block_1,C0102
C124,C,01,02,4,1,64.23,Block_1,C0102
C125,C,01,02,5,10,78.75,Block_1,C0102
C126,C,01,02,6,3,62.19,Block_1,C0102
C127,C,01,02,7,0,55.29,Block_1,C0102
C128,C,01,02,8,0,62.04,Block_1,C0102
C129,C,01,02,9,2,65.54,Block_1,C0102
C1210,C,01,02,10,0,66.81,Block_1,C0102
C211,C,02,01,1,0,52,Block_1,C0201
C212,C,02,01,2,0,56.26,Block_1,C0201
C213,C,02,01,3,0,64.23,Block_1,C0201
C214,C,02,01,4,0,57.62,Block_1,C0201
C215,C,02,01,5,0,51.89,Block_1,C0201
C216,C,02,01,6,2,58.57,Block_1,C0201
C217,C,02,01,7,1,60.4,Block_1,C0201
C218,C,02,01,8,0,66.31,Block_1,C0201
C219,C,02,01,9,0,59.56,Block_1,C0201
C2110,C,02,01,10,0,51.5,Block_1,C0201
C221,C,02,02,1,0,59.48,Block_1,C0202
C222,C,02,02,2,0,59.93,Block_1,C0202
C223,C,02,02,3,0,55.86,Block_1,C0202
C224,C,02,02,4,0,49.52,Block_1,C0202
C225,C,02,02,5,0,53.9,Block_1,C0202
C226,C,02,02,6,0,57.29,Block_1,C0202
C227,C,02,02,7,0,60.18,Block_1,C0202
C228,C,02,02,8,0,48.52,Block_1,C0202
C229,C,02,02,9,0,60.93,Block_1,C0202
